FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Cu1 Mn1 Ni1 Zn0.333,FCC,CAST,FCC,,,8.3,147,C,25,215,,60,,,167,,,
Cu1 Mn1 Ni1 Zn0.25,FCC,CAST,FCC,,,8.3,109,C,25,140,,65,,,169,,,
Al0.111 Cu1 Mn1 Ni1,FCC+Sec.,CAST,other,,,8.1,241,C,25,515,,40,,,,,,
Cu1 Mn1 Ni1 Sn0.111,FCC+Sec.,CAST,other,,,8.3,318,C,25,630,,20,,,,,,
Al0.053 Cu1 Mn1 Ni1,FCC,CAST,FCC,,,8.3,166,C,25,330,,45,,,173,,,
Cu1 Mn1 Ni1 Sn0.053,FCC+Sec.,CAST,other,,,8.4,205,C,25,380,,63,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,1000,150,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,25,388,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,300,411,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,500,421,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,700,426,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,900,230,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,1100,80,,,,,189,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,1000,116,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,1100,79,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,25,1620,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,600,805,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,500,1120,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,700,567,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,900,214,,,,,156,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,800,302,,,,,156,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,1000,47,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,25,948,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,600,561,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,700,307,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,800,172,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,,C,900,98,,,,,,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,25,,,,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,400,1080,1100,2,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,600,1060,1170,3,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,800,860,1000,2,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,1000,594,630,15,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,1200,105,116,24,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,600,930,,,,,170,92,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,800,875,,,,,170,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,1000,550,,,,,170,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,1200,150,,,,,170,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6,,C,400,1070,,,,,189,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6,,C,600,1020,,,,,189,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6,,C,800,875,,,,,189,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6,,C,1000,375,,,,,189,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6,,C,1200,100,,,,,189,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,600,520,,,,,151,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,800,500,,,,,151,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,1000,540,,,,,151,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,1200,200,,,,,151,,,
Al1 Nb1 Ti1 V1,B2,ANNEAL,other,,,5.5,,C,600,780,1005,,,,,,,
Al1 Nb1 Ti1 V1,B2,ANNEAL,other,,,5.5,,C,800,560,700,,,,,,,
Al1 Nb1 Ti1 V1,B2,ANNEAL,other,,,5.5,,C,25,1000,1280,,,,,,,
Al1 Nb1 Ti1 V1 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,600,1155,1385,,,,,,,
Al1 Nb1 Ti1 V1 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,800,550,600,,,,,,,
Al1 Nb1 Ti1 V1 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,25,1500,1675,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.1,B2+Sec.,ANNEAL,other,,,5.5,,C,600,975,1085,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.1,B2+Sec.,ANNEAL,other,,,5.5,,C,800,865,920,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.1,B2+Sec.,ANNEAL,other,,,5.5,,C,25,1290,1395,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.25,B2+Sec.,ANNEAL,other,,,5.6,,C,600,1065,1260,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.25,B2+Sec.,ANNEAL,other,,,5.6,,C,800,855,865,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.25,B2+Sec.,ANNEAL,other,,,5.6,,C,25,1360,1480,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.5,B2+Laves+Sec.,ANNEAL,other,,,5.6,,C,600,1135,1425,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.5,B2+Laves+Sec.,ANNEAL,other,,,5.6,,C,800,675,740,,,,,,,
Al1 Nb1 Ti1 V1 Zr0.5,B2+Laves+Sec.,ANNEAL,other,,,5.6,,C,25,1485,,,,,,,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,600,1195,1195,,,,,,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,800,180,395,,,,,,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,B2+Laves+Sec.,ANNEAL,other,,,5.8,,C,25,1535,1550,,,,,,,
Co1 Cr1 Mo1 Nb1,BCC+Laves,CAST,other,,,8.8,,C,25,,1419.6,,,,,,,
Co1 Cr1 Mo1 Nb1 Ti1,BCC+Laves,CAST,other,,,7.8,,C,25,,1096.8,,,,,,,
Co1 Cr1 Mo1 Nb1 Ti0.2,BCC+Laves,CAST,other,,,8.5,,C,25,,1905.6,,,,,,,
Co1 Cr1 Mo1 Nb1 Ti0.4,BCC,CAST,BCC,,,8.3,,C,25,,1771.3,,,,212,,,
Co1 Cr1 Mo1 Nb1 Ti0.5,BCC+Laves,CAST,other,,,8.2,,C,25,,1609.2,,,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,other,,,8.2,,C,25,1457,1908,,,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,other,,,8.2,,C,25,1420,1885,4.2,,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,other,,,8.2,,C,25,1328,1884,,,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,other,,,8.2,,C,25,1322,1726,,,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,CAST,other,,,8.2,,C,25,1375,2130,3,,,,,,
Hf1 Nb1 Ti1 V1 Zr1,BCC+Laves,ANNEAL,other,,,8.1,,C,25,1157,1468,,,,,,,
Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25,1253,1393,,,,95,,,
Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25,1140,1463,,,,95,,,
Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25,1120,1376,30,,,95,,,
Hf1 Nb1 Ti1 V1 Zr1,BCC+Laves,CAST,other,,,8.1,,C,25,1170,1463,29.6,,,,,,
Cr1 Ta1 Ti0.17 V1 W1,BCC+Laves,POWDER,other,,,12.6,715,C,25,2034,,1.5,,,,,,
Cr1 Ta1 Ti0.17 V1 W1,BCC+Laves,POWDER,other,,,12.6,,C,1200,750,,1.5,,,,,,
Cr1 Ta1 Ti0.3 V1 W1,BCC+Laves,POWDER,other,,,12.3,780,C,25,2050,,1.5,,,,,,
Cr1 Ta1 Ti0.3 V1 W1,BCC+Laves,POWDER,other,,,12.3,,C,1200,586,,1.5,,,,,,
Cr1 Ta1 V1 W1,BCC+Laves,POWDER,other,,,13,715,C,25,2327,,1.5,,,,,,
Cr1 Ta1 V1 W1,BCC+Laves,POWDER,other,,,13,,C,1200,979,,1.5,,,,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,60,795,,,,,122,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,100,765,,,,,122,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,200,650,,,,,122,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,300,590,,,,,122,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,25,845,,,,,122,,,
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.7,442,C,25,1350,2150,,28,,,,,
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.5,494,C,25,1370,1950,,23,,,,,
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.2,524,C,25,1600,1900,,23,,,,,
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,BCC+Sec.,CAST,other,,,7,580,C,25,1550,1900,,12,,,,,
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,BCC+Sec.,CAST,other,,,6.8,640,C,25,1650,2000,,9,,,,,
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,other,,,7.9,400,C,25,1150,1500,,25,,,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2250,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2210,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196,1880,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196,1750,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153,1640,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153,1550,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103,1380,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103,1370,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43,1200,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43,1180,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72,1040,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72,1020,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25,1150,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25,1100,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2390,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196,1920,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153,1370,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103,1250,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43,1020,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72,640,,,,,100,,,
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25,890,,,,,100,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.5,,C,1000,398,430,,,,,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.5,,C,25,1617,2016,,,,,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.5,,C,1200,166,187,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.2,,C,1000,614,696,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.2,,C,25,1787,2052,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,,8.2,,C,1200,188,219,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,,7.9,,C,1000,673,741,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,,7.9,,C,25,2134,2242,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,,7.9,,C,1200,235,268,,,,,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9,,C,1000,368,394,,,,126,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9,,C,1200,60,,,,,126,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9,,C,25,1260,,,,,126,,,
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,BCC,WROUGHT,BCC,,,8.5,,T,25,540,995,,,,92,,,
Al0.25 Nb1 Ta1 Ti1 Zr1,BCC+B2,OTHER,other,,,8.6,,C,1000,366,408,,,,,,,
Al0.25 Nb1 Ta1 Ti1 Zr1,BCC+B2,OTHER,other,,,8.6,,C,25,1745,1830,,,,,,,
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.6,,C,1000,579,646,,,,,,,
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.6,,C,25,2350,2460,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,other,,,7.1,,C,25,2197,2370,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,B2,OTHER,other,,,7.2,,C,1000,935,1019,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,B2,OTHER,other,,,7.2,,C,25,,1320,,,,,,,
Al1 Nb1 Ta0.5 Ti1 Zr0.5,B2,OTHER,other,,,6.9,,C,1000,535,542,,,,,,,
Al1 Nb1 Ta0.5 Ti1 Zr0.5,B2,OTHER,other,,,6.9,,C,25,1352,1357,,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,ANNEAL,other,,,7.5,,C,400,1273,1335,14.5,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,ANNEAL,other,,,7.5,,C,600,597,651,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,ANNEAL,other,,,7.5,,C,800,102,107,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,ANNEAL,other,,,7.5,,C,25,1483,1611,9.5,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,CAST,other,,,7.5,,C,600,920,1252,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,CAST,other,,,7.5,,C,800,371,427,50,,,,,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,CAST,other,,,7.5,,C,25,1540,1643,16.8,,,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,0.05,,9.9,420,T,25,1900,,7.9,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC+HCP,OTHER,other,0.05,,9.9,530,T,25,1520,,1.7,,,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC+BCC+HCP,OTHER,other,0.1,,9.9,340,T,25,795,,5,,,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,100,,9.9,309,T,25,830,840,9.2,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,366,T,25,1202,1295,4.7,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,WROUGHT,other,,,9.9,,T,25,1303,1334,,,,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,351,T,25,1145,1262,9.7,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25,958,974,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25,944,959,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25,940,953,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25,940,1080,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,25,905,,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,25,890,,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25,828,862,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25,827,856,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25,820,869,,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25,803,810,,,,107,,,
Al0.2 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.3,,C,25,1021,1249,,,,183,,,
Al0.6 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.7,,C,25,962,1033,,,,173,,,
Al1 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.2,,C,25,,735,,,,165,,,
Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.6,,C,25,1221,1454,,,,189,,,
Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,other,,,11.1,571,C,25,2310,,0.3,,,,,,
Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,other,,,11.1,536,C,25,2100,2200,3.5,,,,,,
Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,other,,,11.1,,C,25,2020,2030,1.7,,,,,,
Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,other,,,11.1,550,C,25,1950,2010,2.2,,,,,,
Hf1 Nb1 Ta1 Zr1,BCC,CAST,BCC,,,11.1,365,C,25,1315,1800,21.6,,,105,,,
Hf1 Ta0.4 Ti1 Zr1,BCC+HCP,CAST,other,,,9.2,,T,25,400,1100,,,,,,,
Hf1 Ta0.5 Ti1 Zr1,BCC+HCP,CAST,other,,,9.4,,T,25,700,1100,,,,,,,
Hf1 Ta0.6 Ti1 Zr1,BCC+HCP,CAST,other,,,9.6,,T,25,800,1100,,,,,,,
Hf1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,T,25,1500,1500,,,,107,,,
Mo1 Nb1 Ta1 Ti0.25 W1,BCC,CAST,BCC,,,13.1,478.3,C,25,1109,1197,,,,242,,,
Mo1 Nb1 Ta1 Ti0.5 W1,BCC,CAST,BCC,,,12.6,481.2,C,25,1211,1578,,,,234,,,
Mo1 Nb1 Ta1 Ti0.75 W1,BCC,CAST,BCC,,,12.2,495.6,C,25,1304,1593,,,,228,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,507.5,C,25,1455,1910,,,,222,,,
Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,25,996,1148,,,,250,,,
Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.4,,C,25,1400,2450,,,,171,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11,,C,600,973,1590,,,,209,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11,,C,800,791.3,1180,,,,209,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11,,C,1000,752.8,1105,,,,209,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11,,C,1200,659,696,,,,209,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11,,C,25,1515,2135,,,,209,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,600,689,1681,,,,222,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,800,674,1618,,,,222,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,1000,620,1426,,,,222,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,1200,586,814,,,,222,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,25,1343,2005,,,,222,,,
Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,other,,,9.1,,C,25,1390,,,,,,,,
Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,ANNEAL,other,,,9.1,,C,25,1100,1200,,,,,,,
Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,other,,,9.1,,C,25,1375,1450,,,,,,,
Mo1 Nb1 Ta1 V1 W1,BCC,POWDER,BCC,,,12.4,,C,25,2612,3472,,,,229,,,
Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.2,,C,25,965,,,,,134,,,
Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.1,,C,25,1420,1800,20,,,187,,,
Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.9,,C,25,1530,1700,12,,,206,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,other,,,5.8,,C,600,930,,,,,,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,other,,,5.8,,C,800,445,,,,,,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,other,,,5.8,,C,1000,90,,,,,,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,other,,,5.8,,C,25,1340,1700,,,,,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,BCC,,,5.8,,C,25,1240,,,,,134,,,
Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,600,1005,1045,,,,119,,,
Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,800,640,685,,,,119,,,
Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,1000,40,80,,,,119,,,
Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,25,1300,1430,,,,119,,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,,,5.9,,C,600,1370,1480,,,,,,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,,,5.9,,C,800,970,1045,,,,,,,
