FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,286,,25,,,,,,206,,,
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,8.1,296,,25,,,,,,,,,
Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,,,8.7,263,,25,,,,,,236,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1251,2004,,33,,184,,,
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.7,,C,25,957,2550,,11,213,,,,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.6,,C,25,906,2386,,9,151,,,,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.5,,C,25,867,2178,,8,137,,,,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.5,,C,25,1056,2375,,7,156,,,,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.4,,C,25,1060,2250,,6,181,,,,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,other,,,5.9,,C,25,1255,2083,,6,73,,,,
Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.2,,C,25,1251,2166,,7,75,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1138,,,11,,184,,,
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,BCC,,,6.8,,C,25,1804,2280,,9,,188,,,
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,other,,,6.9,,C,25,2456,2953,,3,,,,,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,other,,,7,,C,25,2649,3208,,3,,,,,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,other,,,7,,C,25,2670,3161,,3,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,,C,25,2757,3036,,3,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1051,,,,,184,,,
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,BCC,,,6.8,569,C,25,1641,3285,,17,,182,,,
